Type	ECNumber	Substrate	EnzymeType	PubMedID	Organism	UniprotID	Value	Unit
kcat	5.1.1.3	L-Glutamate	wildtype	10331867	Aquifex pyrophilus	P56868	0.21	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	10331867	Aquifex pyrophilus	P56868	0.056	s^(-1)
kcat	5.1.1.3	D-Glutamate	D7S	10331867	Aquifex pyrophilus	P56868	0.00034	s^(-1)
kcat	5.1.1.3	L-Glutamate	D7S	10331867	Aquifex pyrophilus	P56868	0.037	s^(-1)
kcat	5.1.1.3	L-Glutamate	E147N	10331867	Aquifex pyrophilus	P56868	0.0023	s^(-1)
kcat	5.1.1.3	D-Glutamate	E147N	10331867	Aquifex pyrophilus	P56868	0.0047	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17658548	Streptococcus pyogenes	Q9A1B7	1.63	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17658548	Streptococcus pyogenes	Q9A1B7	0.49	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17568739	Helicobacter pylori	P56068	1.05	s^(-1)
kcat	5.1.1.3	L-Glutamate	A75T	17568739	Helicobacter pylori	P56068	1.783333	s^(-1)
kcat	5.1.1.3	L-Glutamate	E151K	17568739	Helicobacter pylori	P56068	2.266667	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17568739	Escherichia coli	P22634	12.16667	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17568739	Enterococcus faecalis	Q836J0	25.0	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17568739	Enterococcus faecium		36.66667	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17568739	Staphylococcus aureus		8.5	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17568739	Helicobacter pylori	P56068	0.2	s^(-1)
kcat	5.1.1.3	D-Glutamate	A75T	17568739	Helicobacter pylori	P56068	0.065	s^(-1)
kcat	5.1.1.3	D-Glutamate	E151K	17568739	Helicobacter pylori	P56068	0.08333333	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17568739	Escherichia coli	P22634	43.33333	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17568739	Enterococcus faecalis	Q836J0	11.73333	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17568739	Enterococcus faecium		15.0	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17568739	Staphylococcus aureus		0.5666667	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17496086	Bacillus anthracis	Q81UL8	12.0	s^(-1)
kcat	5.1.1.3	L-Glutamate	wildtype	17496086	Bacillus anthracis	Q81LA8	18.0	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17496086	Bacillus anthracis	Q81UL8	1.8	s^(-1)
kcat	5.1.1.3	D-Glutamate	wildtype	17496086	Bacillus anthracis	Q81LA8	2.0	s^(-1)
